Sample in Buffer,Sample in Window,TRIGGER,tsm_I_1[11:0],tsm_Q_1[11:0],tsm_I[11:0],tsm_Q[11:0],rev_I[11:0],rev_Q[11:0],rev_valid_1,rev_valid_2,rev_valid_3,rev_valid
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,SIGNED,SIGNED,HEX,HEX,HEX,HEX
6680,6680,0,ffe,7fe,ffe,7fe,2047,714,1,1,1,1
6681,6681,0,ffe,7fe,ffe,7fe,1341,1099,1,1,1,1
6682,6682,0,802,ffe,802,ffe,94,661,1,1,1,1
6683,6683,0,802,ffe,802,ffe,-679,61,1,1,1,1
6684,6684,0,002,802,002,802,-1211,-18,1,1,1,1
6685,6685,0,002,802,002,802,-1421,-697,1,1,1,1
6686,6686,0,802,ffe,802,ffe,-1166,-1312,1,1,1,1
6687,6687,0,802,ffe,802,ffe,766,-349,1,1,1,1
6688,6688,0,002,802,002,802,2047,715,1,1,1,1
6689,6689,0,002,802,002,802,1316,1100,1,1,1,1
6690,6690,0,7fe,002,7fe,002,94,658,1,1,1,1
6691,6691,0,7fe,002,7fe,002,-679,47,1,1,1,1
6692,6692,0,ffe,7fe,ffe,7fe,-1209,-30,1,1,1,1
6693,6693,0,ffe,7fe,ffe,7fe,-1445,-690,1,1,1,1
6694,6694,0,802,ffe,802,ffe,-1163,-1314,1,1,1,1
6695,6695,0,802,ffe,802,ffe,761,-350,1,1,1,1
6696,6696,0,002,802,002,802,2047,718,1,1,1,1
6697,6697,0,002,802,002,802,1333,1118,1,1,1,1
6698,6698,0,7fe,002,7fe,002,356,557,1,1,1,1
6699,6699,0,7fe,002,7fe,002,1265,-497,1,1,1,1
6700,6700,0,ffe,7fe,ffe,7fe,2047,-189,1,1,1,1
